iter	Passed	Remaining
0	191	286812
1	331	248271
2	428	213928
3	754	282153
4	826	247043
5	1291	321464
6	1554	331622
7	1652	308260
8	1808	299684
9	1889	281540
10	1956	264867
11	2169	269005
12	2256	258093
13	2303	244482
14	2382	235916
15	2528	234496
16	2603	227158
17	2773	228390
18	2976	232038
19	3019	223434
20	3099	218273
21	3325	223402
22	3544	227628
23	3796	233473
24	4089	241291
25	4203	238305
26	4392	239631
27	4459	234430
28	4615	234133
29	4659	228315
30	4882	231351
31	5068	232540
32	5209	231595
33	5391	232461
34	5637	235983
35	5792	235546
36	5870	232113
37	6164	237163
38	6222	233112
39	6352	231851
40	6604	235038
41	6795	235899
42	7017	237785
43	7153	236728
44	7293	235816
45	7412	234306
46	7562	233794
47	7710	233235
48	7839	232147
49	7990	231731
50	8138	231231
51	8290	230861
52	8457	230903
53	8615	230705
54	8784	230786
55	8925	230160
56	9043	228932
57	9197	228663
58	9338	228088
59	9495	227880
60	9638	227366
61	9782	226891
62	9940	226738
63	10085	226301
64	10218	225598
65	10409	226180
66	10533	225293
67	10644	224170
68	10766	223286
69	10902	222724
70	11047	222349
71	11177	221679
72	11283	220573
73	11425	220179
74	11548	219424
75	11707	219353
76	11829	218618
77	11950	217870
78	12079	217272
79	12220	216913
80	12350	216363
81	12490	215989
82	12626	215555
83	12751	214951
84	12937	215370
85	13071	214916
86	13241	215060
87	13403	215063
88	13529	214502
89	13654	213914
90	13767	213174
91	13864	212186
92	14015	212038
93	14132	211380
94	14239	210594
95	14391	210469
96	14509	209870
97	14614	209078
98	14825	209798
99	14926	208973
100	15041	208340
101	15192	208222
102	15336	208011
103	15533	208505
104	15718	208825
105	15928	209480
106	16132	210025
107	16263	209620
108	16418	209518
109	16605	209835
110	16755	209674
111	16916	209644
112	17111	210037
113	17306	210409
114	17476	210473
115	17640	210474
116	17770	210056
117	17969	210457
118	18076	209774
119	18295	210397
120	18431	210052
121	18668	210865
122	18782	210271
123	18927	210036
124	19065	209724
125	19276	210205
126	19481	210610
127	19586	209947
128	19761	210021
129	19931	210050
130	20066	209700
131	20261	209985
132	20504	210748
133	20615	210156
134	20775	210059
135	21020	210821
136	21154	210468
137	21297	210194
138	21422	209759
139	21571	209547
140	21736	209498
141	21940	209821
142	22095	209678
143	22248	209506
144	22421	209527
145	22564	209262
146	22695	208887
147	22891	209113
148	23005	208595
149	23146	208320
150	23366	208752
151	23539	208758
152	23674	208428
153	23808	208088
154	23939	207731
155	24067	207354
156	24192	206942
157	24379	207067
158	24673	208095
159	24806	207756
160	24929	207330
161	25027	206711
162	25163	206406
163	25311	206199
164	25484	206193
165	25659	206202
166	25784	205811
167	25896	205323
168	26037	205064
169	26250	205374
170	26362	204889
171	26482	204472
172	26615	204156
173	26727	203678
174	26919	203818
175	27044	203444
176	27165	203052
177	27318	202892
178	27497	202924
179	27616	202522
180	27777	202425
181	27932	202276
182	28060	201944
183	28212	201777
184	28380	201729
185	28485	201239
186	28589	200741
187	28740	200575
188	28930	200678
189	29122	200790
190	29329	201005
191	29466	200741
192	29679	200993
193	29847	200934
194	30064	201200
195	30399	202252
196	30544	202024
197	30698	201863
198	30863	201774
199	31015	201603
200	31196	201612
201	31388	201691
202	31511	201332
203	31656	201109
204	31854	201230
205	31949	200693
206	32106	200551
207	32317	200740
208	32445	200417
209	32605	200292
210	32711	199832
211	32890	199823
212	33036	199615
213	33159	199266
214	33254	198755
215	33386	198466
216	33522	198198
217	33634	197793
218	33723	197257
219	33835	196858
220	33923	196327
221	34066	196112
222	34179	195727
223	34294	195355
224	34392	194893
225	34528	194641
226	34670	194429
227	34778	194028
228	34881	193601
229	35059	193586
230	35277	193795
231	35391	193434
232	35494	193008
233	35603	192625
234	35732	192347
235	35873	192134
236	36007	191887
237	36157	191723
238	36338	191725
239	36476	191500
240	36615	191282
241	36782	191207
242	36928	191022
243	37039	190663
244	37187	190491
245	37329	190289
246	37447	189965
247	37570	189672
248	37737	189597
249	37897	189487
250	38021	189199
251	38127	188820
252	38226	188411
253	38328	188021
254	38455	187754
255	38604	187595
256	38735	187345
257	38904	187285
258	39028	187004
259	39135	186647
260	39293	186529
261	39394	186147
262	39479	185690
263	39568	185251
264	39677	184913
265	39785	184566
266	39909	184300
267	40023	183990
268	40113	183569
269	40224	183246
270	40378	183120
271	40504	182867
272	40654	182721
273	40798	182552
274	40940	182369
275	41057	182079
276	41218	181986
277	41388	181932
278	41490	181575
279	41598	181249
280	41710	180941
281	41801	180545
282	41893	180158
283	42005	179852
284	42116	179547
285	42269	179422
286	42417	179274
287	42539	179018
288	42677	178833
289	42771	178460
290	42931	178364
291	43012	177944
292	43128	177665
293	43241	177376
294	43342	177044
295	43437	176685
296	43538	176352
297	43656	176090
298	43751	175737
299	43900	175601
300	44008	175301
301	44093	174914
302	44260	174852
303	44352	174493
304	44486	174299
305	44622	174113
306	44733	173834
307	44825	173481
308	45005	173466
309	45152	173327
310	45314	173244
311	45451	173066
312	45571	172822
313	45677	172527
314	45799	172292
315	45890	171942
316	45976	171578
317	46064	171219
318	46185	170987
319	46288	170689
320	46378	170343
321	46554	170312
322	46698	170167
323	46878	170150
324	46986	169872
325	47109	169652
326	47229	169420
327	47352	169198
328	47492	169038
329	47603	168777
330	47741	168610
331	47842	168314
332	47945	168023
333	48049	167740
334	48143	167423
335	48303	167337
336	48428	167128
337	48600	167080
338	48714	166836
339	48853	166677
340	48967	166432
341	49101	166256
342	49211	165998
343	49302	165680
344	49449	165547
345	49610	165463
346	49774	165388
347	49915	165239
348	50036	165021
349	50168	164838
350	50273	164570
351	50463	164579
352	50567	164308
353	50657	163993
354	50789	163815
355	50912	163605
356	51025	163366
357	51154	163178
358	51237	162845
359	51344	162589
360	51446	162321
361	51552	162062
362	51672	161851
363	51782	161608
364	51876	161315
365	51964	161004
366	52051	160694
367	52165	160465
368	52279	160237
369	52462	160222
370	52575	159993
371	52659	159677
372	52775	159458
373	52883	159214
374	53044	159133
375	53193	159013
376	53328	158854
377	53494	158784
378	53636	158645
379	53773	158490
380	53926	158383
381	54116	158383
382	54265	158262
383	54425	158173
384	54571	158044
385	54666	157769
386	54761	157491
387	54881	157288
388	55005	157097
389	55121	156885
