iter	RMSE
0	3.647028367
1	3.47053109
2	3.303087129
3	3.144330104
4	2.993892541
5	2.851224756
6	2.715962322
7	2.587729143
8	2.466515501
9	2.351765088
10	2.242947463
11	2.139950827
12	2.042639662
13	1.950779424
14	1.863999991
15	1.781975091
16	1.704380128
17	1.631199094
18	1.562400582
19	1.496804573
20	1.435515292
21	1.378132391
22	1.324011589
23	1.273188574
24	1.225259979
25	1.180738261
26	1.138109721
27	1.09816109
28	1.061457845
29	1.026484192
30	0.9941209465
31	0.9639576758
32	0.936470898
33	0.9053563886
34	0.8763331404
35	0.8490118422
36	0.8238469605
37	0.8006643853
38	0.7789156831
39	0.7583977631
40	0.7394145821
41	0.7219219082
42	0.7058743968
43	0.6911170011
44	0.6772671838
45	0.6644722144
46	0.6526350837
47	0.6419014254
48	0.6319560674
49	0.6229828474
50	0.6146231427
51	0.6068987107
52	0.6000430161
53	0.5937409211
54	0.5879066653
55	0.5830530962
56	0.5780436473
57	0.5721178791
58	0.5668881597
59	0.5621629012
60	0.5578055904
61	0.552515225
62	0.5477898141
63	0.5434957059
64	0.5395437301
65	0.5358624787
66	0.5323826854
67	0.5293120731
68	0.5267297179
69	0.5242279733
70	0.5220513184
71	0.5198616787
72	0.5178262732
73	0.5161539415
74	0.5146503659
75	0.5129845306
76	0.5116078751
77	0.5097685886
78	0.5080353435
79	0.5061920952
80	0.5044970271
81	0.5029509883
82	0.50134902
83	0.4999083686
84	0.4983437781
85	0.4970684403
86	0.4959719811
87	0.4949040255
88	0.4939272317
89	0.4930853152
90	0.4921944003
91	0.4914307135
92	0.4906931458
93	0.4900410477
94	0.4891170068
95	0.4885304574
96	0.4877819896
97	0.4873300019
98	0.4868314618
99	0.4862938305
100	0.4858598612
101	0.4852461058
102	0.4848435205
103	0.4842378063
104	0.4836317709
105	0.4830805537
106	0.4825778641
107	0.4819495548
108	0.4815137413
109	0.4810856658
110	0.4806853814
111	0.4802807634
112	0.4799712687
113	0.4794315351
114	0.4790545433
115	0.4788188372
116	0.4785353225
117	0.4780055224
118	0.4776954312
119	0.4772363601
120	0.477033292
121	0.4767175335
122	0.4765578804
123	0.4761872271
124	0.4757897973
125	0.4755357345
126	0.4752374313
127	0.4748600829
128	0.4745405891
129	0.4741949824
130	0.4738968697
131	0.4737035279
132	0.4733935753
133	0.4730839651
134	0.4728304132
135	0.4724653601
136	0.4721426342
137	0.471799729
138	0.4716770205
139	0.4713536582
140	0.4711906357
141	0.4709854265
142	0.470659256
143	0.4704042826
144	0.4702631767
145	0.470051769
146	0.4698531417
147	0.4694827127
148	0.4693348879
149	0.4692235129
150	0.4689642437
151	0.4688012203
152	0.4684629854
153	0.4681650315
154	0.467816297
155	0.4676050105
156	0.467493601
157	0.467411261
158	0.467350505
159	0.4671712319
160	0.4669773684
161	0.4668678064
162	0.4666371554
163	0.4665082993
164	0.4663555343
165	0.4660800544
166	0.4660201746
167	0.4657840083
168	0.4656689112
169	0.4655626843
170	0.4653726062
171	0.465250243
172	0.4651084148
173	0.4650378595
174	0.4648284935
175	0.4646733002
176	0.4644717111
177	0.4642372574
178	0.4640762804
179	0.4639970479
180	0.4637620701
181	0.4635393847
182	0.4633949129
183	0.4632481232
184	0.4631067845
185	0.4629466648
186	0.4628193939
187	0.4627027317
188	0.4625912179
189	0.4624316921
190	0.4622396997
191	0.4620678021
192	0.4620112487
193	0.4618936973
194	0.4616560115
195	0.4614661372
196	0.4613033897
197	0.4612020096
198	0.4610667722
199	0.4609585527
200	0.460856263
201	0.4607377269
202	0.460619072
203	0.4604865824
204	0.4602913189
205	0.4601879259
206	0.4600556311
207	0.4599245454
208	0.4598158108
209	0.459638244
210	0.4595987532
211	0.4595116844
212	0.4594271058
213	0.4593649498
214	0.459259924
215	0.4591760102
216	0.459065514
217	0.4589083166
218	0.458804954
219	0.4587538474
220	0.4586351852
221	0.4585124333
222	0.458387142
223	0.4583331666
224	0.4582475762
225	0.4581750486
226	0.4580048298
227	0.4579507384
228	0.457838251
229	0.4575859947
230	0.4575239356
231	0.4574808033
232	0.4573793456
233	0.4572611216
234	0.4572039032
