iter	RMSE
0	0.6343209501
1	0.6245072698
2	0.6153603929
3	0.607348919
4	0.5995361611
5	0.5927392729
6	0.5862136672
7	0.5802433939
8	0.5746227294
9	0.569629841
10	0.5650663913
11	0.5606507371
12	0.5568957074
13	0.5532464934
14	0.5486052878
15	0.5443607983
16	0.5404974251
17	0.536980098
18	0.5337832109
19	0.530869643
20	0.5282086749
21	0.5253315269
22	0.5229482479
23	0.520785411
24	0.5185384087
25	0.5161305131
26	0.5139156193
27	0.5119265499
28	0.510051224
29	0.5083195875
30	0.5067691586
31	0.5049104057
32	0.5033349685
33	0.5018707473
34	0.5005333759
35	0.4993844016
36	0.4981986677
37	0.4967866933
38	0.4954716469
39	0.4945539427
40	0.4934458732
41	0.4923914284
42	0.4914647204
43	0.4906885005
44	0.4898294451
45	0.4890339842
46	0.4882771062
47	0.4876531427
48	0.4870677825
49	0.4865602992
50	0.4860085556
51	0.4855115407
52	0.4848199773
53	0.4842830255
54	0.4838248971
55	0.483317834
56	0.4826098248
57	0.4822527871
58	0.4815893602
59	0.4810275707
60	0.4804855365
61	0.4801539573
62	0.4795967018
63	0.479283881
64	0.4787544897
65	0.4782735255
66	0.4779759673
67	0.4776305441
68	0.4771964116
69	0.4769305686
70	0.4765225929
71	0.4761645483
72	0.4758377068
73	0.4756136977
74	0.4752600231
75	0.4749384161
76	0.4747787466
77	0.4744402693
78	0.4741391829
79	0.4738573574
80	0.4735701811
81	0.4731298523
82	0.4727732615
83	0.4725137622
84	0.472182344
85	0.4718972046
86	0.4716048906
87	0.4712826099
88	0.4710227643
89	0.4707747745
90	0.4704877633
91	0.4701010426
92	0.4698681813
93	0.4696107167
94	0.4690806677
95	0.468638193
96	0.4684687504
97	0.4682656917
98	0.4679400762
99	0.4676367127
100	0.4674099413
101	0.467258004
102	0.4670282422
103	0.4667493286
104	0.4663746082
105	0.4661891845
106	0.466063074
107	0.465838697
108	0.4656749942
109	0.4654823437
110	0.4653042257
111	0.4651194004
112	0.465008473
113	0.4647917747
114	0.4646626567
115	0.4643881788
116	0.4642046715
117	0.4640117178
118	0.463852981
119	0.463641209
120	0.4634167657
121	0.4632235083
122	0.4630368372
123	0.4628737557
124	0.4627377131
125	0.4625992952
126	0.462493659
127	0.4622477193
128	0.4619776444
129	0.4617406145
130	0.4616570473
131	0.4614498395
132	0.4613257828
133	0.4608494321
134	0.4606912356
135	0.4605658954
136	0.4604299309
137	0.4603289154
138	0.4602463858
139	0.4601040957
140	0.4599517467
141	0.4598259418
142	0.4597332784
143	0.4596204108
144	0.4595003312
145	0.4593813248
146	0.4592408211
147	0.4590753646
148	0.4589997404
149	0.4588833972
150	0.4587938179
151	0.4586899241
152	0.4585941573
153	0.4583861567
154	0.4582547893
155	0.4581494483
156	0.4580691517
157	0.4578922756
158	0.4578277653
159	0.4577192222
160	0.4575828521
161	0.4575006002
162	0.4574543536
163	0.4573476246
164	0.4572600456
165	0.4571279252
166	0.4570039341
167	0.4569191561
168	0.4568002409
169	0.4566554801
170	0.4565483287
171	0.4564309596
172	0.4563462768
173	0.4562371436
174	0.4560986892
175	0.4559880956
176	0.4558914019
177	0.4558488062
178	0.4557600514
179	0.4556777506
180	0.4555299759
181	0.4554185341
182	0.4553421169
183	0.4552214722
184	0.4551277283
185	0.4550334741
186	0.4548558399
187	0.454808027
188	0.4547518612
189	0.454687056
190	0.4545868831
191	0.4545043051
192	0.4544137938
193	0.4542990049
194	0.4542257855
195	0.4541448708
196	0.4539610961
197	0.4538410658
198	0.4537615661
199	0.4536398412
200	0.4535425381
201	0.4535003369
202	0.4534146967
203	0.4533201057
204	0.4532646526
205	0.4531743991
206	0.4531062652
207	0.4530099951
208	0.4529358056
209	0.4528650861
210	0.4528072568
211	0.4527159991
212	0.4526852103
213	0.4526183322
214	0.4525855189
215	0.4525379884
216	0.4524566779
217	0.4524408467
218	0.4523859875
219	0.4523070797
220	0.4522815594
221	0.4522069554
222	0.4521137149
223	0.4520971802
224	0.4520773887
225	0.4520010323
226	0.4519375298
227	0.4518691861
228	0.4517762795
229	0.4516895531
230	0.4516244309
231	0.4515349795
232	0.45140282
233	0.4513062627
234	0.4512377355
235	0.4511876031
236	0.4511532975
237	0.4510578796
238	0.4509983103
239	0.4509178889
240	0.4508614566
241	0.4508483677
242	0.4507827688
243	0.450734581
244	0.450711383
245	0.4506277321
246	0.4504092615
247	0.4503587616
248	0.4502542522
249	0.4500528303
250	0.4500253037
251	0.4499647148
252	0.4497990411
253	0.449737017
254	0.4496519659
255	0.4495576458
256	0.449488835
257	0.4494282851
258	0.4493643657
259	0.4492242233
260	0.4490908761
261	0.4490313665
262	0.4489510974
263	0.4488836799
264	0.4488236173
265	0.4487654346
266	0.4487162604
267	0.448695513
268	0.4486653207
269	0.4486195866
270	0.4485699473
271	0.4485512495
272	0.4485295955
273	0.4484763635
274	0.4484248156
275	0.4483634925
276	0.4483181788
277	0.4482918449
278	0.4482385864
279	0.4481953246
280	0.4481707155
281	0.448129431
282	0.4480843011
