iter	Passed	Remaining
0	478	717730
1	1049	785719
2	1379	688511
3	1658	620285
4	2156	644837
5	2433	605938
6	2734	583246
7	3027	564647
8	3335	552531
9	3626	540326
10	3924	531262
11	4221	523447
12	4476	512088
13	4815	511106
14	5068	501744
15	5307	492301
16	5571	486024
17	5811	478492
18	6049	471507
19	6250	462551
20	6460	455006
21	6735	452507
22	7026	451223
23	7224	444309
24	7587	447689
25	7780	441070
26	7982	435486
27	8177	429917
28	8471	429705
29	8703	426456
30	9001	426534
31	9313	427239
32	9547	424418
33	9785	421912
34	9989	418115
35	10184	414186
36	10417	411917
37	10709	412021
38	10993	411821
39	11192	408543
40	11529	410277
41	11865	411897
42	12158	411991
43	12357	408917
44	12599	407372
45	12805	404775
46	13009	402191
47	13200	399323
48	13386	396406
49	13591	394160
50	13870	394089
51	14103	392739
52	14420	393701
53	14744	394834
54	14951	392808
55	15265	393626
56	15593	394768
57	15771	392099
58	16118	393671
59	16316	391596
60	16687	393661
61	16906	392130
62	17236	393152
63	17439	391306
64	17777	392464
65	18063	392460
66	18275	390876
67	18600	391706
68	18957	393153
69	19148	391166
70	19431	391087
71	19689	390513
72	20195	394771
73	20423	393564
74	20715	393585
75	20980	393112
76	21226	392269
77	21614	394042
78	22026	396196
79	22259	395114
80	22558	395183
81	22965	397127
82	23367	398944
83	23697	399464
84	24064	400604
85	24434	401749
86	24779	402450
87	25156	403642
88	25527	404706
89	25965	406796
90	26385	408545
91	26654	407925
92	26922	407316
93	27288	408160
94	27598	408163
95	27930	408479
96	28193	407789
97	28586	408962
98	28822	407882
99	29146	408049
100	29497	408580
101	29753	407797
102	30120	408532
103	30457	408834
104	30730	408279
105	30976	407376
106	31495	410023
107	31715	408783
108	31964	407910
109	32179	406628
110	32459	406178
111	32806	406565
112	33037	405516
113	33227	403975
114	33538	403918
115	33765	402861
116	34021	402149
117	34246	401094
118	34459	399899
119	34745	399573
120	34979	398651
121	35353	399325
122	35682	399474
123	36029	399816
124	36278	399064
125	36628	399426
126	36961	399592
127	37209	398840
128	37539	398969
129	37834	398721
130	38077	397926
131	38274	396664
132	38557	396297
133	38851	396054
134	39100	395348
135	39541	396579
136	39892	396887
137	40147	396233
138	40404	395613
139	40689	395264
140	41013	395298
141	41443	396343
142	41669	395424
143	41952	395048
144	42297	395260
145	42542	394536
146	42818	394106
147	43084	393584
148	43329	392869
149	43628	392660
150	43915	392333
151	44216	392131
152	44457	391403
153	44687	390576
154	45086	391238
155	45486	391887
156	45750	391354
157	46047	391114
158	46241	389999
159	46603	390304
160	46913	390172
161	47176	389645
162	47420	388964
163	47706	388636
164	48018	388515
165	48289	388059
166	48581	387781
167	48830	387158
168	49134	386966
169	49346	386062
170	49691	386198
171	50048	386418
172	50329	386049
173	50630	385839
174	50901	385397
175	51251	385551
176	51575	385508
177	51851	385099
